samsetning,fjöldi
aa,75
aá,50
ab,910
ac,0
ad,288
að,3142
ae,86
aé,0
af,2354
ag,2371
ah,571
ai,25
aí,46
aj,33
ak,1673
al,3665
am,2450
an,4649
ao,43
aó,12
ap,665
aq,0
ar,8384
as,3338
at,1557
au,2598
aú,20
av,621
aw,0
ax,151
ay,13
aý,0
az,0
aþ,147
aæ,13
aö,19
áa,33
áá,0
áb,134
ác,0
ád,44
áð,476
áe,17
áé,0
áf,216
ág,171
áh,186
ái,18
áí,3
áj,0
ák,246
ál,1604
ám,266
án,329
áo,7
áó,1
áp,80
áq,0
ár,901
ás,541
át,1019
áu,10
áú,0
áv,174
áw,0
áx,1
áy,2
áý,0
áz,0
áþ,22
áæ,44
áö,1
ba,1064
bá,117
bb,156
bc,0
bd,7
bð,0
be,704
bé,4
bf,1
bg,0
bh,3
bi,442
bí,253
bj,175
bk,0
bl,780
bm,1
bn,1
bo,636
bó,452
bp,0
bq,0
br,1503
bs,12
bt,0
bu,375
bú,477
bv,2
bw,0
bx,0
by,309
bý,70
bz,0
bþ,0
bæ,276
bö,73
ca,0
cá,0
cb,0
cc,0
cd,0
cð,0
ce,2
cé,0
cf,0
cg,0
ch,6
ci,0
cí,0
cj,0
ck,0
cl,0
cm,1
cn,0
co,0
có,0
cp,0
cq,0
cr,0
cs,0
ct,0
cu,0
cú,0
cv,0
cw,0
cx,0
cy,0
cý,0
cz,0
cþ,0
cæ,0
cö,0
da,2016
dá,81
db,96
dc,0
dd,362
dð,0
de,340
dé,2
df,85
dg,49
dh,87
di,1865
dí,96
dj,105
dk,53
dl,146
dm,37
dn,44
do,58
dó,309
dp,10
dq,0
dr,780
ds,420
dt,15
du,1411
dú,79
dv,175
dw,0
dx,0
dy,65
dý,196
dz,0
dþ,19
dæ,110
dö,41
ða,2666
ðá,14
ðb,202
ðc,0
ðd,76
ðð,0
ðe,52
ðé,0
ðf,309
ðg,249
ðh,226
ði,2229
ðí,1
ðj,176
ðk,142
ðl,526
